PIC50_RET wild,can_smile,id,id_new,smiles
6.999132278,Cn1cc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,32853046,patent_32853046,CN1C=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=N1
6.998699067,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN(C)C(=O)c1ccn(C)n1,,reaxys_28252717,COC1=C(OCCCN(C)C(=O)C2=NN(C)C=C2)C=C2N=CN=C(NC3=C(C)C(O)=CC=C3F)C2=C1
6.997402019,COc1ccc(CN2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)cn1,32852874,patent_32852874,COC1=CC=C(CN2CCN(CC2)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)C=N1
6.995678626,Cn1nc(-c2cc3cccnc3[nH]2)c2c(N)ncnc21,,reaxys_31976604,CN1N=C(C2=CC3=C(N2)N=CC=C3)C2=C1N=CN=C2N
6.995248844,CCOc1cc(-c2ccc(N3C[C@@H](C(F)(F)F)C[C@@H](NC)C3)nc2)c2c(C#N)cnn2c1,33059480,patent_33059480,CCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1C[C@@H](C[C@@H](C1)C(F)(F)F)NC
6.992252222,COCCOc1cc(-c2ccc(N3CCN(Cc4ccnc(C)c4)CC3)nc2)c2c(C#N)cnn2c1,32852947,patent_32852947,COCCOC1=CN2N=CC(C#N)=C2C(=C1)C1=CC=C(N=C1)N1CCN(CC2=CC(C)=NC=C2)CC1
6.991399828,CCc1ccc(C#Cc2c3n(c4ncnc(N)c24)CCCC3)cc1,,reaxys_31254528,CCC1=CC=C(C=C1)C#CC1=C2CCCCN2C2=NC=NC(N)=C12
6.990124366,Cc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)nn1,32853039,patent_32853039,CC1=CC=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(C#N)=C23)N=N1
6.990124366,COc1ccc(S(=O)(=O)N2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,32853176,patent_32853176,COC1=CC=C(C=N1)S(=O)(=O)N1C2CC1CN(C2)C1=CC=C(C=N1)C1=CC(OCC(C)(C)O)=CN2N=CC(C#N)=C12
6.989700043,CCOc1ncc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(Cl)c45)cn2)C3)cc1F,32853283,patent_32853283,CCOC1=C(F)C=C(CN2C3CC2CN(C3)C2=CC=C(C=N2)C2=CC(OCC(C)(C)O)=CN3N=CC(Cl)=C23)C=N1
